sample inputreads readlength mappedlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-9ELC 112034516 200 199.37 106047235 94.66 3688555 3.29 0.07 0.00 1.92 0.06
H005-9F34 68913958 200 199.42 65069439 94.42 2483272 3.60 0.06 0.00 1.86 0.05
H005-9P4M 87434207 200 199.38 82818056 94.72 2964621 3.39 0.07 0.00 1.77 0.05
H005-9QDV47 129171947 287 284.03 119653532 92.63 4161589 3.22 0.04 0.00 4.01 0.09
H005-9R6P 85808186 247 245.48 80160071 93.42 2786131 3.25 0.04 0.00 3.22 0.07
H005-9S37 86649223 200 199.48 81832266 94.44 3039930 3.51 0.07 0.00 1.92 0.06
H005-9VRO 92372014 200 199.37 87440268 94.66 3266651 3.54 0.05 0.00 1.71 0.04
H005-A72M 84243687 200 199.44 79586310 94.47 3052373 3.62 0.06 0.00 1.80 0.04
H005-A7KR 103479739 200 199.47 97756337 94.47 3937045 3.80 0.06 0.00 1.61 0.05
H005-AJYE 110721250 200 199.65 105082416 94.91 3512981 3.17 0.05 0.00 1.82 0.05
H005-APD8 130754406 289 285.76 120331057 92.03 6249295 4.78 0.06 0.00 3.03 0.10
H005-BI30 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-BL6W 95897871 246 245.15 90315699 94.18 2811551 2.93 0.04 0.00 2.76 0.08
H005-BNNH8F 129398734 290 288.33 122272711 94.49 3809118 2.94 0.05 0.00 2.44 0.08
H005-BO0I 102415633 200 199.45 96900484 94.61 3628604 3.54 0.05 0.00 1.74 0.05
H005-CD3_1 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-CD3_2 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-CD3_5 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-CD3_6 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-CD3_7 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-CF04 95215411 200 199.71 89813808 94.33 3667352 3.85 0.05 0.00 1.75 0.03
H005-CI7B 81758497 200 199.48 77641164 94.96 2529049 3.09 0.06 0.00 1.84 0.05
H005-CRU4 76567332 200 199.11 72460067 94.64 2396041 3.13 0.05 0.00 2.13 0.05
H005-CY4B 88618262 200 199.35 83721662 94.47 3262224 3.68 0.07 0.00 1.73 0.05
H005-CYHM28 233736822 288 286.03 219775144 94.03 7569408 3.24 0.04 0.00 2.63 0.07
H005-D550 77451145 247 246.41 72644244 93.79 2444145 3.16 0.05 0.00 2.94 0.07
H005-DELN 95037926 246 244.98 89332371 94.00 2741050 2.88 0.05 0.00 3.00 0.07
H005-DU43 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
